Employee ID,Schedule Adherence,Schedule Variability,Error Rate,Performance Score
19012299,0.73,1.0,0.58,0.88
63181060,0.63,0.71,0.82,0.68
29101721,0.66,0.87,0.45999999999999996,0.64
32275632,0.5,0.89,0.63,0.85
72551668,0.5700000000000001,0.77,0.78,0.6
30851361,0.7000000000000001,0.83,0.64,0.68
30742312,0.55,0.97,0.47,0.83
4241082,0.76,0.86,0.43,0.84
77267851,0.78,0.7999999999999999,0.6799999999999999,0.8
65181649,0.7100000000000001,0.9,0.65,0.8
83794476,0.64,0.9299999999999999,0.3,0.86
95636457,0.75,0.96,0.66,0.69
4252623,0.52,0.75,0.83,0.89
11363336,0.73,0.83,0.53,0.63
70528350,0.67,0.99,0.68,0.9
67142221,0.61,0.82,0.35999999999999993,0.86
97334764,0.52,0.7999999999999999,0.72,0.79
74854624,0.79,0.82,0.7000000000000001,0.85
87653540,0.7000000000000001,0.95,0.5800000000000001,0.64
91282684,0.6900000000000001,0.95,0.57,0.76
55388635,0.5700000000000001,0.95,0.41000000000000003,0.73
92347656,0.52,0.86,0.61,0.82
56087573,0.51,0.77,0.6799999999999999,0.71
41970838,0.55,0.72,0.67,0.78
87976095,0.6900000000000001,0.9199999999999999,0.72,0.84
31774193,0.59,0.73,0.53,0.84
45667652,0.73,0.82,0.63,0.61
83029220,0.8,0.76,0.76,0.8
77981604,0.75,0.84,0.75,0.9
38704727,0.79,0.82,0.41,0.73
83698994,0.63,0.7999999999999999,0.7799999999999999,0.68
18892087,0.74,0.86,0.41,0.69
43928919,0.75,0.88,0.56,0.76
75040304,0.68,0.94,0.59,0.65
49772649,0.72,0.82,0.63,0.67
47756171,0.68,0.84,0.61,0.64
80268080,0.6900000000000001,0.84,0.54,0.71
35481412,0.56,0.94,0.42,0.85
20182767,0.76,0.82,0.66,0.89
26315160,0.74,0.74,0.55,0.8
96788220,0.68,0.74,0.52,0.81
66632539,0.65,0.7999999999999999,0.78,0.76
91188949,0.62,0.89,0.5,0.62
64040813,0.7000000000000001,0.9199999999999999,0.76,0.82
75263693,0.51,0.78,0.7,0.8
13769361,0.59,0.82,0.62,0.66
14368702,0.64,0.84,0.7699999999999999,0.61
36619574,0.62,0.73,0.64,0.79
7003455,0.78,0.99,0.57,0.86
83558633,0.7100000000000001,0.7999999999999999,0.32,0.66
90834067,0.59,0.95,0.73,0.62
77002405,0.55,0.86,0.55,0.73
80541749,0.6,0.9299999999999999,0.5700000000000001,0.73
38374807,0.73,0.78,0.46,0.71
70557677,0.52,0.99,0.66,0.85
62916372,0.7000000000000001,0.99,0.49000000000000005,0.65
43191536,0.6,0.87,0.7,0.74
23357555,0.79,0.88,0.61,0.83
12315508,0.76,0.9299999999999999,0.63,0.76
60369366,0.55,0.86,0.67,0.85
89213704,0.64,0.9299999999999999,0.58,0.72
93172855,0.64,0.9199999999999999,0.64,0.88
37663634,0.5700000000000001,0.82,0.38,0.66
95313696,0.65,0.98,0.51,0.8
44349362,0.79,1.0,0.42,0.6
73905990,0.59,0.7,0.78,0.77
5288945,0.5700000000000001,0.99,0.47,0.85
55692630,0.75,0.7,0.72,0.72
42916050,0.74,0.97,0.81,0.74
41542844,0.56,0.9,0.52,0.62
32862210,0.6,0.91,0.35999999999999993,0.62
90042683,0.7000000000000001,0.82,0.5900000000000001,0.63
13740580,0.77,0.71,0.47,0.85
42222215,0.72,0.99,0.6,0.73
66755909,0.79,0.74,0.49,0.66
613381,0.62,0.85,0.43999999999999995,0.74
67005686,0.5,0.9199999999999999,0.75,0.82
32342203,0.5800000000000001,0.9199999999999999,0.6200000000000001,0.6
78667528,0.61,0.87,0.53,0.72
39597486,0.6900000000000001,0.86,0.6,0.7
95532643,0.75,0.9299999999999999,0.52,0.65
95232913,0.68,0.73,0.39000000000000007,0.89
11037000,0.5800000000000001,0.98,0.88,0.87
26000524,0.75,0.78,0.36000000000000004,0.87
36912023,0.52,0.9199999999999999,0.43,0.64
7224329,0.79,0.85,0.62,0.83
48816329,0.67,0.88,0.33,0.84
40305911,0.55,0.7,0.41,0.65
13542128,0.54,0.72,0.6699999999999999,0.62
30884938,0.66,0.77,0.63,0.8
46612336,0.73,0.98,0.6799999999999999,0.62
39000920,0.64,0.9,0.7699999999999999,0.82
38285149,0.74,0.98,0.62,0.87
15151445,0.59,0.7899999999999999,0.58,0.76
92495743,0.5700000000000001,0.7899999999999999,0.63,0.68
43299560,0.56,0.73,0.6699999999999999,0.69
95658505,0.56,0.74,0.41000000000000003,0.73
74912499,0.78,0.76,0.71,0.6
55825347,0.54,0.73,0.62,0.76
91064884,0.77,0.9299999999999999,0.5900000000000001,0.84
83650069,0.61,0.7899999999999999,0.36999999999999994,0.64
86750369,0.6900000000000001,0.7,0.6,0.64
16888276,0.65,0.8099999999999999,0.5399999999999999,0.77
28737175,0.65,0.86,0.56,0.62
63502928,0.74,0.86,0.66,0.68
86525669,0.79,0.73,0.5599999999999999,0.78
36960685,0.8,0.7899999999999999,0.5,0.77
856025,0.62,0.96,0.5900000000000001,0.66
97926934,0.59,0.74,0.66,0.82
66034588,0.7100000000000001,0.98,0.76,0.65
40446608,0.53,0.96,0.6,0.75
19310254,0.72,0.95,0.7,0.74
4497676,0.61,0.88,0.53,0.73
12243984,0.77,0.9199999999999999,0.84,0.78
20594122,0.5800000000000001,0.75,0.6199999999999999,0.82
21139814,0.77,0.82,0.69,0.74
30838738,0.52,0.98,0.54,0.68
822925,0.5800000000000001,0.91,0.85,0.7
74270584,0.53,0.82,0.5700000000000001,0.84
6164432,0.55,0.97,0.84,0.62
18536763,0.67,0.94,0.48,0.89
52342587,0.51,0.91,0.35000000000000003,0.71
48039456,0.72,0.8099999999999999,0.8099999999999999,0.71
76778236,0.64,0.96,0.58,0.9
76010331,0.63,1.0,0.42000000000000004,0.63
39945151,0.66,0.98,0.71,0.82
78378722,0.7000000000000001,0.99,0.6599999999999999,0.66
46315280,0.53,0.73,0.6799999999999999,0.8
91152881,0.79,0.97,0.66,0.9
73245899,0.7100000000000001,0.7899999999999999,0.57,0.62
87909065,0.5700000000000001,0.9199999999999999,0.6299999999999999,0.73
91610493,0.7000000000000001,0.77,0.5800000000000001,0.83
97332903,0.63,0.9,0.36999999999999994,0.9
35495030,0.73,0.85,0.58,0.67
88610234,0.74,0.87,0.37000000000000005,0.63
38508908,0.53,0.73,0.67,0.79
43038944,0.55,0.75,0.39999999999999997,0.79
33634473,0.66,0.77,0.5299999999999999,0.8
68371273,0.79,0.88,0.69,0.7
86977838,0.51,0.86,0.45,0.87
84328499,0.63,0.76,0.55,0.75
61045701,0.53,0.8099999999999999,0.74,0.71
34152670,0.64,0.88,0.6199999999999999,0.8
38141361,0.59,0.91,0.6599999999999999,0.77
18358199,0.8,0.89,0.6799999999999999,0.64
33511113,0.54,0.94,0.43,0.77
5668333,0.78,0.89,0.49,0.83
51401478,0.77,0.99,0.75,0.76
55548634,0.66,0.95,0.7999999999999999,0.72
5095408,0.72,0.87,0.5,0.66
9863757,0.7000000000000001,0.74,0.57,0.62
11375217,0.72,0.73,0.6499999999999999,0.64
69273351,0.76,0.9299999999999999,0.8,0.89
86300903,0.78,0.85,0.7,0.71
93717533,0.7100000000000001,0.84,0.43000000000000005,0.85
86838850,0.66,0.84,0.54,0.89
34834492,0.7000000000000001,0.72,0.47000000000000003,0.62
28765354,0.53,0.73,0.76,0.66
26320003,0.65,0.83,0.49,0.84
78762522,0.77,0.83,0.61,0.86
51399350,0.53,0.94,0.32,0.79
23306945,0.74,0.75,0.5700000000000001,0.85
95772931,0.77,1.0,0.77,0.63
32725928,0.73,0.87,0.63,0.87
9067691,0.65,0.91,0.53,0.64
62464470,0.6900000000000001,0.99,0.6,0.84
65082046,0.51,0.98,0.82,0.88
77926230,0.53,0.94,0.6799999999999999,0.63
76667842,0.51,0.96,0.5800000000000001,0.79
79211058,0.73,0.88,0.77,0.76
74888555,0.5800000000000001,0.86,0.48000000000000004,0.74
8041392,0.79,0.7999999999999999,0.75,0.71
57566436,0.5800000000000001,0.76,0.27999999999999997,0.79
52623674,0.68,0.84,0.5599999999999999,0.64
97077010,0.56,0.95,0.6599999999999999,0.83
52089787,0.7000000000000001,0.8099999999999999,0.63,0.87
84216002,0.72,0.9199999999999999,0.73,0.87
83370584,0.6900000000000001,0.7899999999999999,0.63,0.84
14260595,0.76,0.77,0.67,0.85
26885205,0.63,0.9,0.5599999999999999,0.75
57985906,0.7000000000000001,0.77,0.5700000000000001,0.76
24595063,0.5800000000000001,0.9,0.71,0.71
56581474,0.65,0.9199999999999999,0.57,0.68
53094169,0.73,0.73,0.62,0.67
7221209,0.6900000000000001,0.72,0.5399999999999999,0.69
42539472,0.65,0.7899999999999999,0.5700000000000001,0.73
32737442,0.73,0.9299999999999999,0.6699999999999999,0.69
4652376,0.59,0.8099999999999999,0.66,0.73
82631442,0.72,0.9299999999999999,0.61,0.77
78703006,0.5800000000000001,0.77,0.62,0.65
23812811,0.64,0.94,0.6499999999999999,0.63
99425804,0.72,0.9199999999999999,0.57,0.63
60210271,0.56,0.85,0.65,0.7
66943779,0.53,0.99,0.52,0.67
45901508,0.68,0.7899999999999999,0.64,0.66
13115342,0.55,0.94,0.6900000000000001,0.87
37991563,0.5700000000000001,0.96,0.31,0.68
38649602,0.79,0.7,0.41,0.65
8244187,0.74,0.7,0.5499999999999999,0.68
81251237,0.75,0.7899999999999999,0.32999999999999996,0.8
39668972,0.53,0.87,0.42000000000000004,0.64
31491129,0.5800000000000001,0.9199999999999999,0.5,0.78
47288137,0.55,0.9,0.78,0.81
36439767,0.59,0.84,0.7200000000000001,0.82
29219320,0.65,0.95,0.78,0.6
17463801,0.78,0.9299999999999999,0.71,0.62
21212833,0.75,0.88,0.48999999999999994,0.62
16469782,0.66,0.78,0.73,0.84
74311411,0.5800000000000001,0.9199999999999999,0.5299999999999999,0.65
93042828,0.78,0.97,0.7,0.62
85084308,0.77,0.89,0.6799999999999999,0.87
99023897,0.6900000000000001,0.72,0.5599999999999999,0.8
49848073,0.59,0.71,0.62,0.7
95550785,0.79,0.95,0.51,0.65
28294222,0.68,0.8099999999999999,0.74,0.72
13825677,0.53,0.72,0.55,0.73
55571529,0.77,0.95,0.77,0.7
11571286,0.73,0.99,0.86,0.89
21361813,0.5700000000000001,0.82,0.51,0.75
13368584,0.66,0.99,0.63,0.82
88555360,0.78,0.7999999999999999,0.59,0.63
60012728,0.6900000000000001,0.86,0.38000000000000006,0.72
47194895,0.8,0.91,0.73,0.89
7809404,0.68,0.97,0.52,0.83
21493052,0.65,0.83,0.41999999999999993,0.61
91053017,0.5800000000000001,0.82,0.61,0.88
2941150,0.62,0.86,0.65,0.73
60726435,0.68,0.7899999999999999,0.5700000000000001,0.69
69173615,0.64,0.9199999999999999,0.78,0.87
17074075,0.79,0.7899999999999999,0.55,0.66
96910314,0.77,0.8099999999999999,0.77,0.74
21130264,0.6900000000000001,0.82,0.38,0.84
86923748,0.64,0.9,0.47000000000000003,0.77
44644769,0.61,0.8099999999999999,0.54,0.69
38691114,0.75,0.97,0.53,0.66
7204399,0.6900000000000001,0.7899999999999999,0.66,0.74
99529224,0.61,0.91,0.54,0.65
74275639,0.75,0.87,0.41000000000000003,0.8
85450011,0.56,0.86,0.64,0.73
5019077,0.53,0.84,0.51,0.64
93286303,0.79,0.97,0.49,0.7
18270318,0.67,0.77,0.48000000000000004,0.75
90937193,0.62,0.83,0.72,0.87
71847297,0.5700000000000001,0.95,0.63,0.72
40714694,0.74,0.88,0.7,0.64
37561443,0.73,0.72,0.52,0.64
95925984,0.75,0.71,0.53,0.85
17492441,0.5700000000000001,0.84,0.44,0.77
74045293,0.56,0.85,0.82,0.7
11257529,0.77,1.0,0.61,0.73
75686879,0.6,0.71,0.6000000000000001,0.86
85568919,0.78,0.89,0.58,0.65
90502795,0.67,0.86,0.82,0.77
89929176,0.75,0.82,0.6799999999999999,0.69
64174788,0.74,0.98,0.52,0.63
67743627,0.7000000000000001,0.86,0.63,0.83
26541601,0.76,0.94,0.69,0.86
44038905,0.76,0.75,0.43,0.73
68967358,0.6900000000000001,0.86,0.6900000000000001,0.86
36595029,0.67,0.76,0.69,0.79
53124148,0.73,0.71,0.82,0.88
45729881,0.59,1.0,0.65,0.81
25770507,0.79,0.9199999999999999,0.54,0.79
59816446,0.73,0.9,0.56,0.72
55857932,0.51,0.71,0.49999999999999994,0.78
70477786,0.53,0.84,0.6,0.74
47395085,0.77,0.87,0.45,0.68
14607270,0.55,0.95,0.65,0.65
8505268,0.77,0.82,0.56,0.6
1031744,0.53,0.73,0.48000000000000004,0.66
3612619,0.6,0.7899999999999999,0.55,0.88
72191575,0.8,0.7899999999999999,0.5,0.66
55446318,0.54,0.91,0.5499999999999999,0.7
61335967,0.56,0.73,0.59,0.77
87227357,0.63,0.95,0.7999999999999999,0.86
54520615,0.54,0.84,0.77,0.62
1562948,0.78,0.88,0.72,0.89
58205562,0.5,0.75,0.61,0.78
43269299,0.54,0.72,0.62,0.68
12205981,0.51,0.8099999999999999,0.59,0.82
63771721,0.5700000000000001,0.76,0.48,0.69
4672043,0.66,1.0,0.84,0.63
71110770,0.79,0.73,0.74,0.65
34188277,0.7100000000000001,0.91,0.8,0.64
12106035,0.72,0.98,0.68,0.76
28724659,0.66,0.7899999999999999,0.61,0.76
92747084,0.79,0.78,0.48,0.6
28345473,0.53,0.77,0.56,0.75
54406549,0.52,0.7999999999999999,0.56,0.8
43868502,0.5700000000000001,0.76,0.72,0.7
78461804,0.75,0.88,0.36999999999999994,0.82
2784408,0.67,0.71,0.8,0.82
88434858,0.56,0.73,0.7799999999999999,0.61
5624521,0.63,0.78,0.6100000000000001,0.87
32223010,0.79,0.91,0.42000000000000004,0.64
73164606,0.6,0.91,0.71,0.78
81882292,0.7000000000000001,0.89,0.8,0.78
9801858,0.79,0.86,0.5,0.75
93605778,0.61,0.7,0.8200000000000001,0.73
60465704,0.5800000000000001,0.9199999999999999,0.55,0.61
43579430,0.73,0.76,0.5,0.61
96446635,0.62,0.71,0.46,0.82
24148005,0.56,0.97,0.32,0.75
26592966,0.7100000000000001,0.96,0.64,0.61
3516266,0.78,0.87,0.84,0.71
27588518,0.6,0.89,0.6900000000000001,0.78
73569940,0.64,0.7999999999999999,0.55,0.85
53276691,0.7000000000000001,0.8099999999999999,0.88,0.66
61368458,0.6900000000000001,0.97,0.37,0.75
13427821,0.52,0.7,0.62,0.82
11328173,0.72,0.82,0.61,0.69
19531744,0.65,0.9199999999999999,0.56,0.87
39599277,0.79,0.71,0.54,0.89
18783851,0.72,0.9199999999999999,0.6900000000000001,0.89
95265439,0.73,0.91,0.56,0.75
99451184,0.6900000000000001,0.95,0.6399999999999999,0.77
47060875,0.7000000000000001,0.95,0.44999999999999996,0.66
73715013,0.52,0.8099999999999999,0.52,0.62
99831146,0.6900000000000001,0.82,0.56,0.6
91699286,0.78,0.86,0.47000000000000003,0.71
78566319,0.7100000000000001,0.9,0.7,0.78
11063274,0.6,0.7999999999999999,0.46,0.81
82666357,0.7000000000000001,0.73,0.57,0.73
66276073,0.6,0.75,0.63,0.8
16381780,0.51,0.8099999999999999,0.54,0.85
29242851,0.74,0.83,0.7799999999999999,0.78
12184194,0.76,0.8099999999999999,0.64,0.84
3188067,0.68,0.7999999999999999,0.62,0.68
90484078,0.59,0.96,0.59,0.69
25118998,0.72,0.7899999999999999,0.65,0.77
46300739,0.54,0.96,0.55,0.63
33734436,0.73,0.95,0.51,0.69
42478376,0.7000000000000001,0.78,0.37,0.86
99742579,0.67,0.73,0.65,0.65
5379570,0.7100000000000001,0.89,0.64,0.9
60693414,0.72,0.8099999999999999,0.6599999999999999,0.84
99886166,0.7000000000000001,0.85,0.32,0.74
77862306,0.63,0.75,0.75,0.88
77835999,0.67,0.73,0.6,0.68
47746985,0.63,0.91,0.58,0.79
72684967,0.64,0.7899999999999999,0.6,0.86
9939097,0.75,0.89,0.76,0.89
6292677,0.77,0.85,0.55,0.78
76972057,0.59,1.0,0.77,0.79
51214453,0.53,0.75,0.7999999999999999,0.68
3957188,0.5,0.83,0.53,0.66
33041068,0.63,0.86,0.48,0.69
1226947,0.67,0.71,0.86,0.73
1421592,0.6900000000000001,0.76,0.56,0.87
23818261,0.8,0.89,0.82,0.84
61308843,0.77,0.9,0.59,0.61
38605269,0.56,0.76,0.49,0.74
24532914,0.8,0.99,0.76,0.61
68515907,0.8,0.7999999999999999,0.52,0.79
69043611,0.66,0.9199999999999999,0.5599999999999999,0.77
71688861,0.61,0.75,0.76,0.85
48307309,0.66,0.7899999999999999,0.47000000000000003,0.62
92118814,0.77,0.75,0.49999999999999994,0.88
73670116,0.78,0.94,0.58,0.87
88070349,0.6,0.72,0.75,0.65
90325532,0.54,0.78,0.49,0.76
50128320,0.6,0.77,0.43999999999999995,0.63
4185546,0.56,0.91,0.59,0.67
90123765,0.5800000000000001,0.76,0.53,0.83
83098686,0.61,0.91,0.73,0.76
89329050,0.59,0.9199999999999999,0.5700000000000001,0.9
5486061,0.5,0.7899999999999999,0.6000000000000001,0.82
54502487,0.53,0.94,0.41,0.76
44024258,0.66,0.78,0.69,0.75
77736263,0.5700000000000001,0.9299999999999999,0.38999999999999996,0.81
